Zeit,GamePk,Park,Heim,Gast,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2026-09-17T16:35:00Z,823334,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,696062,Wilber Dotel,690986,Kyle Harrison
2026-09-17T16:40:00Z,824464,Great American Ball Park,Cincinnati Reds,Los Angeles Dodgers,663903,Brady Singer,680736,Justin Wrobleski
2026-09-17T17:10:00Z,822924,Tropicana Field,Tampa Bay Rays,Athletics,656876,Drew Rasmussen,605488,Jeffrey Springs
2026-09-17T19:10:00Z,824305,Coors Field,Colorado Rockies,San Diego Padres,685299,Tanner Gordon,650633,Michael King
2026-09-17T23:15:00Z,824141,Daikin Park,Houston Astros,Kansas City Royals,,,607625,Seth Lugo
2026-09-17T23:15:00Z,823573,Citi Field,New York Mets,Philadelphia Phillies,690997,Nolan McLean,605400,Aaron Nola
2026-09-17T23:40:00Z,824548,Rate Field,Chicago White Sox,Detroit Tigers,607200,Erick Fedde,664285,Framber Valdez
2026-09-18T00:05:00Z,822845,Globe Life Field,Texas Rangers,Boston Red Sox,641302,Tyler Alexander,543243,Sonny Gray
2026-09-18T01:38:00Z,823978,Angel Stadium,Los Angeles Angels,Minnesota Twins,700712,Walbert Ureña,671737,Taj Bradley
2026-09-18T22:40:00Z,824463,Great American Ball Park,Cincinnati Reds,Chicago Cubs,695505,Chase Burns,,
2026-09-18T22:40:00Z,823331,PNC Park,Pittsburgh Pirates,Kansas City Royals,,,,
2026-09-18T23:05:00Z,824790,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,,,669160,Dustin May
2026-09-18T23:10:00Z,824383,Progressive Field,Cleveland Guardians,Athletics,682982,Daniel Espino,,
2026-09-18T23:10:00Z,822923,Tropicana Field,Tampa Bay Rays,Boston Red Sox,,,,
2026-09-18T23:15:00Z,823572,Citi Field,New York Mets,Philadelphia Phillies,804267,Zac Thornton,,
2026-09-18T23:40:00Z,824547,Rate Field,Chicago White Sox,Detroit Tigers,,,808825,Andrew Sears
2026-09-19T00:05:00Z,822847,Globe Life Field,Texas Rangers,Toronto Blue Jays,,,656302,Dylan Cease
2026-09-19T00:10:00Z,824303,Coors Field,Colorado Rockies,Seattle Mariners,,,693433,Bryan Woo
2026-09-19T00:10:00Z,824138,Daikin Park,Houston Astros,Atlanta Braves,,,641816,Tyler Mahle
2026-09-19T00:15:00Z,823005,Busch Stadium,St. Louis Cardinals,Washington Nationals,681517,Kyle Leahy,676917,Cade Cavalli
2026-09-19T01:38:00Z,823977,Angel Stadium,Los Angeles Angels,Minnesota Twins,680570,Grayson Rodriguez,687570,Connor Prielipp
2026-09-19T01:40:00Z,823252,Petco Park,San Diego Padres,Miami Marlins,,,663969,Tyler Phillips
2026-09-19T01:40:00Z,825032,Chase Field,Arizona Diamondbacks,New York Yankees,593958,Eduardo Rodriguez,543037,Gerrit Cole
2026-09-19T02:15:00Z,823898,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,,,702885,Cesar Perdomo
2026-09-19T20:05:00Z,824788,Oriole Park at Camden Yards,Baltimore Orioles,Milwaukee Brewers,,,688107,Robert Gasser
2026-09-19T20:10:00Z,822921,Tropicana Field,Tampa Bay Rays,Boston Red Sox,,,,
2026-09-19T20:10:00Z,823571,Citi Field,New York Mets,Philadelphia Phillies,681035,Christian Scott,,
2026-09-19T22:10:00Z,824380,Progressive Field,Cleveland Guardians,Athletics,676440,Tanner Bibee,682052,Jacob Lopez
2026-09-19T22:40:00Z,824461,Great American Ball Park,Cincinnati Reds,Chicago Cubs,666157,Nick Lodolo,,
2026-09-19T22:40:00Z,823330,PNC Park,Pittsburgh Pirates,Kansas City Royals,,,,
2026-09-19T23:05:00Z,822843,Globe Life Field,Texas Rangers,Toronto Blue Jays,,,667755,José Soriano
2026-09-19T23:10:00Z,824137,Daikin Park,Houston Astros,Atlanta Braves,,,656550,Grant Holmes
2026-09-19T23:10:00Z,824545,Rate Field,Chicago White Sox,Detroit Tigers,,,695549,Jackson Jobe
2026-09-19T23:15:00Z,823003,Busch Stadium,St. Louis Cardinals,Washington Nationals,700241,Michael McGreevy,674841,Andrew Alvarez
2026-09-20T00:10:00Z,824304,Coors Field,Colorado Rockies,Seattle Mariners,,,682243,Bryce Miller
2026-09-20T00:10:00Z,825029,Chase Field,Arizona Diamondbacks,New York Yankees,694297,Brandon Pfaadt,693645,Cam Schlittler
