Datum,GamePk,Park,Heim,Gast,HeimF5,GastF5,HeimI1,GastI1,HeimR,GastR,HeimHits,GastHits,HeimHitsF5,GastHitsF5,HeimStarterId,HeimStarter,GastStarterId,GastStarter
2024-03-20,745444,Gocheok Sky Dome,San Diego Padres,Los Angeles Dodgers,2,1,0,0,2,5,4,7,2,3,506433,Yu Darvish,607192,Tyler Glasnow
2024-03-21,746175,Gocheok Sky Dome,Los Angeles Dodgers,San Diego Padres,8,10,1,5,11,15,16,18,13,13,808967,Yoshinobu Yamamoto,605397,Joe Musgrove
2024-03-28,747060,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,7,1,2,1,11,3,10,2,8,1,669203,Corbin Burnes,663776,Patrick Sandoval
2024-03-28,746737,Great American Ball Park,Cincinnati Reds,Washington Nationals,7,0,0,0,8,2,10,6,8,4,593423,Frankie Montas,680686,Josiah Gray
2024-03-28,745445,Petco Park,San Diego Padres,San Francisco Giants,2,1,0,0,6,4,9,9,4,5,506433,Yu Darvish,657277,Logan Webb
2024-03-28,746165,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,5,1,2,0,7,1,10,3,7,2,607192,Tyler Glasnow,571945,Miles Mikolas
2024-03-28,745116,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,1,1,1,0,2,8,8,7,4,1,621107,Zach Eflin,621244,José Berríos
2024-03-28,746335,Kauffman Stadium,Kansas City Royals,Minnesota Twins,1,2,1,1,1,4,5,10,4,5,666142,Cole Ragans,641154,Pablo López
2024-03-28,746821,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,0,1,0,0,0,1,3,6,3,5,676979,Garrett Crochet,669373,Tarik Skubal
2024-03-28,746089,loanDepot park,Miami Marlins,Pittsburgh Pirates,5,2,0,0,5,6,8,9,7,2,666200,Jesús Luzardo,656605,Mitch Keller
2024-03-28,746418,Minute Maid Park,Houston Astros,New York Yankees,4,3,3,0,4,5,13,8,5,5,664285,Framber Valdez,641482,Nestor Cortes
2024-03-28,745039,Globe Life Field,Texas Rangers,Chicago Cubs,1,1,0,0,4,3,8,6,3,2,543135,Nathan Eovaldi,657006,Justin Steele
2024-03-28,745687,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,0,6,0,0,0,8,4,11,3,8,622072,Alex Wood,669456,Shane Bieber
2024-03-28,747224,Chase Field,Arizona Diamondbacks,Colorado Rockies,16,1,2,0,16,1,18,4,16,3,668678,Zac Gallen,607536,Kyle Freeland
2024-03-28,745283,T-Mobile Park,Seattle Mariners,Boston Red Sox,2,4,0,0,4,6,8,11,5,6,622491,Luis Castillo,678394,Brayan Bello
2024-03-29,745848,Citi Field,New York Mets,Milwaukee Brewers,1,2,0,0,1,3,1,8,1,6,500779,Jose Quintana,642547,Freddy Peralta
2024-03-29,745604,Citizens Bank Park,Philadelphia Phillies,Atlanta Braves,2,0,0,0,3,9,5,13,3,4,554430,Zack Wheeler,675911,Spencer Strider
2024-03-29,745117,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,5,1,0,0,8,2,10,6,6,4,650644,Aaron Civale,605135,Chris Bassitt
2024-03-29,746091,loanDepot park,Miami Marlins,Pittsburgh Pirates,1,4,0,0,2,7,9,10,6,4,640462,A.J. Puk,527048,Martín Pérez
2024-03-29,746412,Minute Maid Park,Houston Astros,New York Yankees,1,0,1,0,1,7,7,12,5,4,664299,Cristian Javier,607074,Carlos Rodón
