Datum,PitcherId,Gegner,BF,SO,IP,Heim
2025-03-29,434378,Cincinnati Reds,22,5,5.0,0
2025-04-04,434378,Seattle Mariners,14,2,2.33,1
2025-04-09,434378,Cincinnati Reds,26,9,5.67,1
2025-04-15,434378,Philadelphia Phillies,26,1,5.67,0
2025-04-20,434378,Los Angeles Angels,22,6,6.0,0
2025-04-25,434378,Texas Rangers,23,5,6.0,1
2025-05-01,434378,Colorado Rockies,24,4,6.33,1
2025-05-06,434378,Chicago Cubs,21,3,5.0,0
2025-05-12,434378,Arizona Diamondbacks,27,5,6.0,1
2025-05-18,434378,Athletics,20,1,4.0,1
2025-06-18,434378,Cleveland Guardians,22,6,4.67,1
2025-06-24,434378,Miami Marlins,21,5,5.0,1
2025-06-29,434378,Chicago White Sox,26,3,6.0,0
2025-07-04,434378,Athletics,18,5,3.0,0
2025-07-09,434378,Philadelphia Phillies,25,7,6.0,1
2025-07-18,434378,Toronto Blue Jays,18,0,2.67,0
2025-07-23,434378,Atlanta Braves,21,3,5.0,0
2025-07-29,434378,Pittsburgh Pirates,22,7,5.0,1
2025-08-04,434378,Pittsburgh Pirates,20,4,5.0,0
2025-08-10,434378,Washington Nationals,26,6,5.0,1
2025-08-16,434378,Tampa Bay Rays,24,8,7.0,1
2025-08-21,434378,San Diego Padres,21,4,4.33,0
2025-08-26,434378,Chicago Cubs,27,5,6.0,1
2025-08-31,434378,Baltimore Orioles,22,10,5.0,1
2025-09-06,434378,St. Louis Cardinals,22,6,6.0,0
2025-09-12,434378,Los Angeles Dodgers,29,4,7.0,1
2025-09-17,434378,Arizona Diamondbacks,25,3,7.0,0
2025-09-22,434378,St. Louis Cardinals,24,3,4.33,1
2025-09-27,434378,Colorado Rockies,24,7,6.0,1
2025-03-29,453286,Baltimore Orioles,11,1,3.0,1
2025-06-25,453286,Cleveland Guardians,22,4,5.0,0
2025-06-30,453286,New York Yankees,18,7,5.0,1
2025-07-05,453286,Los Angeles Angels,19,4,4.0,1
2025-07-11,453286,Athletics,24,8,6.0,0
2025-07-22,453286,New York Yankees,21,4,5.0,1
2025-07-27,453286,Detroit Tigers,24,11,7.0,0
2025-08-02,453286,Kansas City Royals,24,5,6.0,1
2025-08-08,453286,Los Angeles Dodgers,26,5,6.0,0
2025-08-14,453286,Chicago Cubs,27,3,7.0,1
2025-08-19,453286,Pittsburgh Pirates,24,4,6.0,0
2025-08-25,453286,Minnesota Twins,23,5,6.0,1
2025-08-31,453286,Milwaukee Brewers,19,1,4.0,1
2025-09-07,453286,New York Yankees,20,8,4.33,0
2025-09-13,453286,Baltimore Orioles,21,5,5.0,1
2025-09-19,453286,Kansas City Royals,10,2,0.67,0
2025-09-24,453286,Boston Red Sox,25,5,5.0,1
2025-04-03,471911,Arizona Diamondbacks,22,5,5.33,1
2025-04-08,471911,Detroit Tigers,19,3,4.33,0
2025-04-14,471911,Kansas City Royals,18,4,5.0,1
2025-04-19,471911,Tampa Bay Rays,20,1,4.0,0
2025-04-25,471911,Toronto Blue Jays,19,2,5.0,1
2025-04-30,471911,Baltimore Orioles,18,5,3.33,0
2025-07-31,471911,Cincinnati Reds,27,5,6.0,0
2025-08-07,471911,Miami Marlins,28,2,5.67,1
2025-08-13,471911,New York Mets,15,2,2.0,0
2025-05-17,477132,Los Angeles Angels,20,2,4.0,1
2025-05-23,477132,New York Mets,6,1,2.0,0
2025-05-28,477132,Cleveland Guardians,21,3,5.0,0
2025-06-03,477132,New York Mets,23,2,4.67,1
2025-06-08,477132,St. Louis Cardinals,21,7,5.0,0
2025-06-14,477132,San Francisco Giants,24,5,7.0,1
2025-06-20,477132,Washington Nationals,21,4,5.0,1
2025-06-26,477132,Colorado Rockies,20,5,6.0,0
2025-07-02,477132,Chicago White Sox,27,3,6.0,1
2025-07-08,477132,Milwaukee Brewers,24,3,6.0,0
2025-07-20,477132,Milwaukee Brewers,21,2,4.33,1
2025-07-26,477132,Boston Red Sox,21,2,4.67,0
2025-08-01,477132,Tampa Bay Rays,24,3,6.0,0
2025-08-08,477132,Toronto Blue Jays,23,4,6.0,1
2025-08-15,477132,San Diego Padres,20,3,6.0,1
2025-08-21,477132,Colorado Rockies,23,3,5.67,0
2025-08-26,477132,Cincinnati Reds,17,6,5.0,1
2025-09-02,477132,Pittsburgh Pirates,22,3,5.0,0
2025-09-07,477132,Baltimore Orioles,22,8,5.67,0
2025-09-13,477132,San Francisco Giants,18,2,3.0,0
2025-09-19,477132,San Francisco Giants,21,6,4.33,1
2025-09-28,477132,Seattle Mariners,21,7,5.33,0
2025-04-11,500779,Arizona Diamondbacks,22,2,7.0,0
2025-04-16,500779,Detroit Tigers,24,4,5.67,1
2025-04-22,500779,San Francisco Giants,24,3,6.0,0
2025-04-27,500779,St. Louis Cardinals,23,6,5.0,0
2025-05-03,500779,Chicago Cubs,23,6,5.0,1
2025-05-09,500779,Tampa Bay Rays,22,3,5.33,0
2025-06-01,500779,Philadelphia Phillies,23,3,5.0,0
2025-06-07,500779,San Diego Padres,23,4,5.0,1
2025-06-14,500779,St. Louis Cardinals,24,4,4.33,1
2025-06-21,500779,Minnesota Twins,24,1,6.0,0
2025-06-27,500779,Colorado Rockies,26,5,5.67,1
2025-07-03,500779,New York Mets,21,3,5.33,0
2025-07-09,500779,Los Angeles Dodgers,24,4,6.0,1
2025-07-20,500779,Los Angeles Dodgers,23,5,6.0,0
2025-07-26,500779,Miami Marlins,23,2,5.0,1
2025-08-01,500779,Washington Nationals,23,4,5.0,0
2025-08-06,500779,Atlanta Braves,25,7,6.0,0
2025-08-11,500779,Pittsburgh Pirates,22,3,6.0,1
2025-08-17,500779,Cincinnati Reds,25,4,6.33,0
2025-08-22,500779,San Francisco Giants,20,2,5.33,1
2025-08-28,500779,Arizona Diamondbacks,22,2,3.67,1
2025-09-03,500779,Philadelphia Phillies,27,6,6.33,1
2025-09-08,500779,Texas Rangers,26,4,6.67,0
2025-09-14,500779,St. Louis Cardinals,17,2,4.0,1
2025-07-07,506433,Arizona Diamondbacks,18,5,3.67,1
2025-07-12,506433,Philadelphia Phillies,22,2,4.67,1
2025-07-19,506433,Washington Nationals,20,1,5.0,0
2025-07-24,506433,St. Louis Cardinals,20,3,3.33,0
2025-07-30,506433,New York Mets,23,7,7.0,1
2025-08-05,506433,Arizona Diamondbacks,16,5,4.0,0
2025-08-11,506433,San Francisco Giants,21,6,6.0,0
