Team,Saison,PA,SO
Toronto Blue Jays,2025,6180,1099
Philadelphia Phillies,2025,6166,1337
Milwaukee Brewers,2025,6227,1266
Boston Red Sox,2025,6206,1419
Athletics,2025,6151,1406
Los Angeles Dodgers,2025,6187,1353
San Diego Padres,2025,6087,1161
Arizona Diamondbacks,2025,6210,1316
Tampa Bay Rays,2025,6045,1397
New York Yankees,2025,6235,1463
Miami Marlins,2025,6142,1247
Houston Astros,2025,6087,1301
Chicago Cubs,2025,6162,1277
New York Mets,2025,6178,1325
Kansas City Royals,2025,6008,1096
Detroit Tigers,2025,6093,1454
St. Louis Cardinals,2025,6069,1321
Atlanta Braves,2025,6186,1371
Cincinnati Reds,2025,6082,1415
Seattle Mariners,2025,6200,1446
Washington Nationals,2025,5982,1351
Minnesota Twins,2025,6059,1372
Colorado Rockies,2025,5908,1531
Baltimore Orioles,2025,6020,1457
San Francisco Giants,2025,6072,1380
Texas Rangers,2025,6046,1327
Chicago White Sox,2025,5987,1364
Pittsburgh Pirates,2025,6008,1422
Cleveland Guardians,2025,5943,1344
Los Angeles Angels,2025,6000,1627
Tampa Bay Rays,2026,5810,1078
Milwaukee Brewers,2026,6042,1309
Los Angeles Dodgers,2026,5949,1208
Colorado Rockies,2026,5917,1347
Pittsburgh Pirates,2026,6004,1443
Chicago Cubs,2026,6104,1284
Miami Marlins,2026,5868,1290
Atlanta Braves,2026,5795,1252
Toronto Blue Jays,2026,5789,1106
San Francisco Giants,2026,5821,1258
Washington Nationals,2026,5952,1295
Boston Red Sox,2026,5869,1262
Kansas City Royals,2026,5819,1221
Athletics,2026,5867,1316
Minnesota Twins,2026,5871,1245
San Diego Padres,2026,5806,1251
Arizona Diamondbacks,2026,5866,1149
Texas Rangers,2026,5798,1327
St. Louis Cardinals,2026,5904,1226
Philadelphia Phillies,2026,5817,1274
Detroit Tigers,2026,5903,1345
Houston Astros,2026,5830,1271
New York Mets,2026,5839,1306
Cleveland Guardians,2026,5845,1226
New York Yankees,2026,5748,1407
Baltimore Orioles,2026,5862,1456
Chicago White Sox,2026,5905,1435
Los Angeles Angels,2026,5816,1480
Seattle Mariners,2026,5818,1346
Cincinnati Reds,2026,5794,1474
