Schluessel,Wert
modell_sigma_differenz,13.22
modell_sigma_summe,13.33
markt_sigma_differenz,12.73
markt_sigma_summe,13.19
abw_spread_0,47.1|571
abw_total_0,51.6|574
abw_spread_3,45.9|185
abw_total_3,52.6|173
abw_spread_5,44.7|76
abw_total_5,48.2|56
td_c,0.0675
td_b,0.7
td_n,5868
td_verlust,0.4895
td_verlust_schnitt,0.515
td_quote,0.2108
td_fach_0.0-0.1,0.05|0.106|1064
td_fach_0.1-0.2,0.153|0.129|1889
td_fach_0.2-0.3,0.246|0.228|1656
td_fach_0.3-0.4,0.341|0.351|848
td_fach_0.4-0.5,0.441|0.485|363
td_fach_0.5-0.6,0.53|0.604|48
rueckblick_woche,2026|2
