Spiel,Basis,Markt,Linie,P,Push
2026_03_LAC_BUF,markt,sieg,,0.75,0
2026_03_LAC_BUF,markt,spread,-3.5,0.6273,0.0
2026_03_LAC_BUF,markt,spread,-4.0,0.6017,0.0256
2026_03_LAC_BUF,markt,spread,-4.5,0.6017,0.0
2026_03_LAC_BUF,markt,spread,-5.0,0.5765,0.0252
2026_03_LAC_BUF,markt,spread,-5.5,0.5765,0.0
2026_03_LAC_BUF,markt,spread,-6.0,0.5367,0.0397
2026_03_LAC_BUF,markt,spread,-6.5,0.5367,0.0
2026_03_LAC_BUF,markt,spread,-7.0,0.4838,0.0529
2026_03_LAC_BUF,markt,spread,-7.5,0.4838,0.0
2026_03_LAC_BUF,markt,spread,-8.0,0.4551,0.0287
2026_03_LAC_BUF,markt,spread,-8.5,0.4551,0.0
2026_03_LAC_BUF,markt,spread,-9.0,0.4417,0.0134
2026_03_LAC_BUF,markt,spread,-9.5,0.4417,0.0
2026_03_LAC_BUF,markt,spread,-10.0,0.4076,0.034
2026_03_LAC_BUF,markt,spread,-10.5,0.4076,0.0
2026_03_LAC_BUF,markt,total,44.5,0.6596,0.0
2026_03_LAC_BUF,markt,total,45.5,0.6314,0.0
2026_03_LAC_BUF,markt,total,46.5,0.6024,0.0
2026_03_LAC_BUF,markt,total,47.5,0.5729,0.0
2026_03_LAC_BUF,markt,total,48.5,0.543,0.0
2026_03_LAC_BUF,markt,total,49.5,0.5129,0.0
2026_03_LAC_BUF,markt,total,50.5,0.4826,0.0
2026_03_LAC_BUF,markt,total,51.5,0.4525,0.0
2026_03_LAC_BUF,markt,total,52.5,0.4226,0.0
2026_03_LAC_BUF,markt,total,53.5,0.3932,0.0
2026_03_LAC_BUF,markt,total,54.5,0.3644,0.0
2026_03_LAC_BUF,markt,heim,25.5,0.6597,0.0
2026_03_LAC_BUF,markt,heim,26.5,0.6188,0.0
2026_03_LAC_BUF,markt,heim,27.5,0.5766,0.0
2026_03_LAC_BUF,markt,heim,28.5,0.5335,0.0
2026_03_LAC_BUF,markt,heim,29.5,0.49,0.0
2026_03_LAC_BUF,markt,heim,30.5,0.4466,0.0
2026_03_LAC_BUF,markt,heim,31.5,0.4039,0.0
2026_03_LAC_BUF,markt,gast,17.5,0.63,0.0
2026_03_LAC_BUF,markt,gast,18.5,0.5874,0.0
2026_03_LAC_BUF,markt,gast,19.5,0.5439,0.0
2026_03_LAC_BUF,markt,gast,20.5,0.5,0.0
2026_03_LAC_BUF,markt,gast,21.5,0.4561,0.0
2026_03_LAC_BUF,markt,gast,22.5,0.4128,0.0
2026_03_LAC_BUF,markt,gast,23.5,0.3705,0.0
2026_03_LAC_BUF,modell,sieg,,0.7477,0
2026_03_LAC_BUF,modell,spread,-3.5,0.6293,0.0
2026_03_LAC_BUF,modell,spread,-4.0,0.6047,0.0246
2026_03_LAC_BUF,modell,spread,-4.5,0.6047,0.0
2026_03_LAC_BUF,modell,spread,-5.0,0.5804,0.0243
2026_03_LAC_BUF,modell,spread,-5.5,0.5804,0.0
2026_03_LAC_BUF,modell,spread,-6.0,0.5422,0.0382
2026_03_LAC_BUF,modell,spread,-6.5,0.5422,0.0
2026_03_LAC_BUF,modell,spread,-7.0,0.4913,0.0509
2026_03_LAC_BUF,modell,spread,-7.5,0.4913,0.0
2026_03_LAC_BUF,modell,spread,-8.0,0.4637,0.0276
2026_03_LAC_BUF,modell,spread,-8.5,0.4637,0.0
2026_03_LAC_BUF,modell,spread,-9.0,0.4508,0.013
2026_03_LAC_BUF,modell,spread,-9.5,0.4508,0.0
2026_03_LAC_BUF,modell,spread,-10.0,0.418,0.0328
2026_03_LAC_BUF,modell,spread,-10.5,0.418,0.0
2026_03_LAC_BUF,modell,total,44.5,0.6516,0.0
2026_03_LAC_BUF,modell,total,45.5,0.6234,0.0
2026_03_LAC_BUF,modell,total,46.5,0.5946,0.0
2026_03_LAC_BUF,modell,total,47.5,0.5653,0.0
2026_03_LAC_BUF,modell,total,48.5,0.5356,0.0
2026_03_LAC_BUF,modell,total,49.5,0.5057,0.0
2026_03_LAC_BUF,modell,total,50.5,0.4758,0.0
2026_03_LAC_BUF,modell,total,51.5,0.446,0.0
2026_03_LAC_BUF,modell,total,52.5,0.4165,0.0
2026_03_LAC_BUF,modell,total,53.5,0.3875,0.0
2026_03_LAC_BUF,modell,total,54.5,0.3591,0.0
2026_03_LAC_BUF,modell,heim,25.5,0.6565,0.0
2026_03_LAC_BUF,modell,heim,26.5,0.6165,0.0
2026_03_LAC_BUF,modell,heim,27.5,0.5752,0.0
2026_03_LAC_BUF,modell,heim,28.5,0.533,0.0
2026_03_LAC_BUF,modell,heim,29.5,0.4906,0.0
2026_03_LAC_BUF,modell,heim,30.5,0.4482,0.0
2026_03_LAC_BUF,modell,heim,31.5,0.4064,0.0
2026_03_LAC_BUF,modell,gast,17.5,0.616,0.0
2026_03_LAC_BUF,modell,gast,18.5,0.5739,0.0
2026_03_LAC_BUF,modell,gast,19.5,0.5311,0.0
2026_03_LAC_BUF,modell,gast,20.5,0.488,0.0
