Spiel,Saison,Woche,Zeit,Heim,Gast,Neutral,Spread,Total,QSpreadHeim,QSpreadGast,QOver,QUnder,QSiegHeim,QSiegGast,MarktPktHeim,MarktPktGast,ModellPktHeim,ModellPktGast,Dach,Wind
2026_03_LAC_BUF,2026,3,2026-09-27T17:00:00Z,BUF,LAC,0,7.0,50.5,1.87,1.952,1.98,1.847,1.29,3.75,29.28,20.65,29.29,20.4,outdoors,
2026_03_CAR_CLE,2026,3,2026-09-27T17:00:00Z,CLE,CAR,0,-2.5,42.5,1.926,1.893,1.909,1.909,2.2,1.704,20.29,22.22,20.69,21.66,outdoors,
2026_03_NYJ_DET,2026,3,2026-09-27T17:00:00Z,DET,NYJ,0,6.5,48.5,1.833,2.0,1.926,1.893,1.328,3.45,28.26,20.11,31.17,20.06,dome,
2026_03_HOU_IND,2026,3,2026-09-27T17:00:00Z,IND,HOU,0,-1.5,42.5,1.98,1.847,1.847,1.98,2.05,1.8,20.8,22.29,24.01,25.03,nan,
2026_03_NE_JAX,2026,3,2026-09-27T17:00:00Z,JAX,NE,0,3.0,46.5,1.98,1.847,1.952,1.87,1.645,2.3,24.37,21.78,21.28,20.76,outdoors,
2026_03_KC_MIA,2026,3,2026-09-27T17:00:00Z,MIA,KC,0,-10.0,45.5,1.952,1.87,1.926,1.893,5.7,1.154,17.0,28.37,18.9,23.74,outdoors,
2026_03_TEN_NYG,2026,3,2026-09-27T17:00:00Z,NYG,TEN,0,2.5,37.5,1.909,1.909,1.893,1.926,1.741,2.14,19.74,17.95,24.24,19.08,outdoors,
2026_03_CIN_PIT,2026,3,2026-09-27T17:00:00Z,PIT,CIN,0,-3.5,42.5,1.893,1.926,1.893,1.926,2.54,1.541,19.19,23.47,22.67,22.58,outdoors,
2026_03_SEA_WAS,2026,3,2026-09-27T17:00:00Z,WAS,SEA,0,-7.5,40.5,1.98,1.847,1.98,1.847,4.1,1.253,15.12,24.83,17.6,27.12,outdoors,
2026_03_ARI_SF,2026,3,2026-09-27T20:05:00Z,SF,ARI,0,8.5,47.5,1.926,1.893,1.87,1.952,1.22,4.5,28.9,18.97,29.64,19.01,outdoors,
2026_03_MIN_TB,2026,3,2026-09-27T20:05:00Z,TB,MIN,0,-1.5,42.5,1.893,1.926,1.909,1.909,2.0,1.833,20.86,21.66,19.27,21.9,outdoors,
2026_03_BAL_DAL,2026,3,2026-09-27T20:25:00Z,DAL,BAL,1,-3.5,53.5,1.847,1.98,1.926,1.893,2.4,1.602,24.75,28.61,24.31,30.36,nan,
2026_03_LV_NO,2026,3,2026-09-27T20:25:00Z,NO,LV,0,3.0,43.5,1.82,2.02,1.847,1.98,1.541,2.54,23.98,20.1,22.05,17.88,dome,
2026_03_LA_DEN,2026,3,2026-09-28T00:20:00Z,DEN,LA,0,-2.5,44.5,1.87,1.952,1.98,1.847,2.1,1.769,21.25,22.69,20.95,22.58,outdoors,
2026_03_PHI_CHI,2026,3,2026-09-29T00:15:00Z,CHI,PHI,0,-4.5,41.5,2.02,1.82,1.952,1.87,2.95,1.42,17.51,23.65,22.77,21.9,outdoors,
