Spiel,Team,Gegner,SpielerId,Name,Position,Status,ChancenRZ,ChancenGL,Anteil,Lambda,P,Quelle
2026_03_ARI_SF,ARI,SF,00-0037744,Trey McBride,TE,,2.05,0.47,0.251,0.4523,0.3639,markt
2026_03_ARI_SF,ARI,SF,00-0041027,Jeremiyah Love,RB,,2.3,0.37,0.155,0.3217,0.2751,markt
2026_03_ARI_SF,ARI,SF,00-0037263,Tyler Allgeier,RB,,1.58,0.47,0.133,0.2892,0.2512,markt
2026_03_ARI_SF,ARI,SF,00-0037157,Bam Knight,RB,,1.16,0.41,0.119,0.2681,0.2351,markt
2026_03_ARI_SF,ARI,SF,00-0038559,Michael Wilson,WR,,0.62,0.0,0.083,0.2084,0.1881,markt
2026_03_ARI_SF,ARI,SF,00-0039849,Marvin Harrison Jr.,WR,,0.43,0.08,0.062,0.1703,0.1566,markt
2026_03_ARI_SF,ARI,SF,00-0037004,Hunter Long,TE,,0.3,0.07,0.038,0.1203,0.1134,markt
2026_03_ARI_SF,ARI,SF,00-0033307,Kendrick Bourne,WR,,0.21,0.01,0.036,0.1165,0.11,markt
2026_03_ARI_SF,ARI,SF,00-0039041,Elijah Higgins,TE,,0.24,0.03,0.033,0.1091,0.1034,markt
2026_03_ARI_SF,ARI,SF,00-0033119,Jacoby Brissett,QB,,0.38,0.12,0.03,0.1023,0.0973,markt
2026_03_ARI_SF,ARI,SF,00-0036331,Devin Duvernay,WR,,0.15,0.1,0.028,0.0978,0.0932,markt
2026_03_ARI_SF,ARI,SF,00-0038640,Jalen Brooks,WR,,0.09,0.02,0.019,0.0755,0.0727,markt
2026_03_ARI_SF,ARI,SF,00-0036646,Simi Fehoko,WR,,0.08,0.0,0.009,0.0438,0.0429,markt
2026_03_ARI_SF,SF,ARI,00-0033280,Christian McCaffrey,RB,,4.77,1.55,0.381,0.8126,0.5563,markt
2026_03_ARI_SF,SF,ARI,00-0031408,Mike Evans,WR,Questionable,0.88,0.55,0.14,0.4027,0.3315,markt
2026_03_ARI_SF,SF,ARI,00-0035719,Deebo Samuel Sr.,WR,,1.02,0.31,0.116,0.3523,0.2969,markt
2026_03_ARI_SF,SF,ARI,00-0033288,George Kittle,TE,,1.2,0.15,0.114,0.3483,0.2941,markt
2026_03_ARI_SF,SF,ARI,00-0037834,Brock Purdy,QB,,0.62,0.34,0.059,0.22,0.1975,markt
2026_03_ARI_SF,SF,ARI,00-0029892,Kyle Juszczyk,RB,,0.48,0.1,0.047,0.1879,0.1713,markt
2026_03_ARI_SF,SF,ARI,00-0041052,Kaelon Black,RB,,0.81,0.0,0.036,0.1571,0.1454,markt
2026_03_ARI_SF,SF,ARI,00-0036887,Luke Farrell,TE,,0.22,0.08,0.029,0.1331,0.1246,markt
2026_03_ARI_SF,SF,ARI,00-0036972,Mac Jones,QB,,0.21,0.11,0.022,0.1099,0.1041,markt
2026_03_ARI_SF,SF,ARI,00-0039365,Jacob Cowing,WR,,0.19,0.04,0.018,0.0956,0.0911,markt
2026_03_ARI_SF,SF,ARI,00-0037287,Vederian Lowe,OL,,0.07,0.07,0.012,0.0711,0.0686,markt
2026_03_ARI_SF,SF,ARI,00-0034854,KhaDarel Hodge,WR,,0.06,0.0,0.012,0.0707,0.0682,markt
2026_03_ARI_SF,SF,ARI,00-0040177,Jordan James,RB,,0.0,0.0,0.006,0.042,0.0411,markt
2026_03_ARI_SF,SF,ARI,00-0032775,Demarcus Robinson,WR,Out,0.45,0.19,0.06,0.223,0.0,markt
2026_03_BAL_DAL,BAL,DAL,00-0032764,Derrick Henry,RB,,4.15,1.4,0.419,0.8621,0.5777,markt
2026_03_BAL_DAL,BAL,DAL,00-0034753,Mark Andrews,TE,,0.8,0.28,0.138,0.3963,0.3272,markt
2026_03_BAL_DAL,BAL,DAL,00-0039064,Zay Flowers,WR,Questionable,0.59,0.06,0.102,0.3197,0.2737,markt
2026_03_BAL_DAL,BAL,DAL,00-0036550,Rashod Bateman,WR,,0.58,0.03,0.079,0.2676,0.2348,markt
2026_03_BAL_DAL,BAL,DAL,00-0034796,Lamar Jackson,QB,,0.7,0.17,0.061,0.2225,0.1995,markt
2026_03_BAL_DAL,BAL,DAL,00-0034975,Justice Hill,RB,,0.22,0.06,0.043,0.1756,0.1611,markt
2026_03_BAL_DAL,BAL,DAL,00-0035993,Tyler Huntley,QB,,0.98,0.01,0.041,0.1699,0.1563,markt
2026_03_BAL_DAL,BAL,DAL,00-0034798,Durham Smythe,TE,,0.25,0.02,0.032,0.1413,0.1318,markt
2026_03_BAL_DAL,BAL,DAL,00-0032398,Chris Moore,WR,,0.1,0.0,0.025,0.1209,0.1138,markt
2026_03_BAL_DAL,BAL,DAL,00-0039796,Rasheen Ali,RB,,0.27,0.0,0.025,0.1183,0.1116,markt
2026_03_BAL_DAL,BAL,DAL,00-0039792,Devontez Walker,WR,,0.04,0.04,0.02,0.1015,0.0965,markt
2026_03_BAL_DAL,BAL,DAL,00-0040075,LaJohntay Wester,WR,,0.0,0.0,0.012,0.071,0.0686,markt
2026_03_BAL_DAL,BAL,DAL,00-0040879,Matthew Hibner,TE,,0.0,0.0,0.005,0.0376,0.0369,markt
2026_03_BAL_DAL,DAL,BAL,00-0036997,Javonte Williams,RB,,3.6,1.35,0.315,0.6383,0.4718,markt
