Zeit,GameId,Heim,Gast
2026-09-21T23:00:00Z,2026010016,PIT,BUF
2026-09-21T23:00:00Z,2026010017,CBJ,DET
2026-09-21T23:00:00Z,2026010019,NJD,NYR
2026-09-21T23:00:00Z,2026010020,WSH,PHI
2026-09-21T23:00:00Z,2026010022,MTL,OTT
2026-09-22T00:00:00Z,2026010015,WPG,COL
2026-09-22T00:00:00Z,2026010018,CHI,MIN
2026-09-22T00:00:00Z,2026010021,DAL,STL
2026-09-22T23:00:00Z,2026010024,BUF,CBJ
2026-09-22T23:00:00Z,2026010025,PIT,DET
2026-09-22T23:00:00Z,2026010026,CAR,FLA
2026-09-22T23:00:00Z,2026010027,NYR,NYI
2026-09-22T23:00:00Z,2026010028,BOS,PHI
2026-09-23T00:00:00Z,2026010023,WPG,EDM
2026-09-23T00:00:00Z,2026010029,NSH,TBL
2026-09-23T01:00:00Z,2026010031,CGY,VAN
2026-09-23T02:00:00Z,2026010030,LAK,UTA
2026-09-23T02:00:00Z,2026010032,SJS,VGK
2026-09-23T23:00:00Z,2026010035,TOR,OTT
2026-09-23T23:00:00Z,2026010036,OTT,TOR
2026-09-24T00:00:00Z,2026010034,DAL,MIN
2026-09-24T02:00:00Z,2026010033,ANA,LAK
2026-09-24T23:00:00Z,2026010040,PHI,BOS
2026-09-24T23:00:00Z,2026010041,DET,BUF
2026-09-24T23:00:00Z,2026010043,TBL,FLA
2026-09-24T23:00:00Z,2026010044,CAR,NSH
2026-09-24T23:00:00Z,2026010045,NYR,NJD
2026-09-24T23:00:00Z,2026010046,CBJ,PIT
2026-09-25T00:00:00Z,2026010042,STL,CHI
2026-09-25T01:00:00Z,2026010037,VAN,EDM
2026-09-25T01:40:00Z,2026010038,SEA,CGY
2026-09-25T02:00:00Z,2026010039,SJS,ANA
2026-09-25T02:00:00Z,2026010047,VGK,UTA
2026-09-25T23:00:00Z,2026010049,WSH,BOS
2026-09-25T23:30:00Z,2026010051,NYI,NYR
2026-09-26T00:00:00Z,2026010050,MIN,DAL
2026-09-26T00:30:00Z,2026010048,COL,WPG
2026-09-26T19:00:00Z,2026010053,NSH,CAR
2026-09-26T19:00:00Z,2026010055,BUF,PIT
2026-09-26T20:00:00Z,2026010052,LAK,ANA
2026-09-26T21:00:00Z,2026010054,UTA,COL
2026-09-26T21:00:00Z,2026010057,PHI,WSH
2026-09-26T22:00:00Z,2026010059,FLA,TBL
2026-09-26T23:00:00Z,2026010056,VAN,SEA
2026-09-26T23:00:00Z,2026010058,CHI,STL
2026-09-26T23:00:00Z,2026010061,DET,CBJ
2026-09-26T23:00:00Z,2026010064,OTT,MTL
2026-09-26T23:00:00Z,2026010065,MTL,OTT
2026-09-26T23:30:00Z,2026010062,NYI,NJD
2026-09-27T01:00:00Z,2026010060,EDM,CGY
2026-09-27T02:00:00Z,2026010063,VGK,SJS
2026-09-29T21:00:00Z,2026020001,CAR,FLA
2026-09-29T23:00:00Z,2026020002,TOR,MTL
2026-09-30T00:00:00Z,2026020003,BOS,NYR
2026-09-30T02:00:00Z,2026020004,EDM,VAN
2026-09-30T02:30:00Z,2026020005,VGK,CHI
2026-09-30T23:30:00Z,2026020006,PHI,PIT
2026-09-30T23:30:00Z,2026020008,TOR,NYI
2026-10-01T02:00:00Z,2026020007,COL,LAK
2026-10-01T23:00:00Z,2026020009,NJD,PHI
2026-10-01T23:00:00Z,2026020010,NYR,TBL
2026-10-01T23:00:00Z,2026020011,CBJ,BUF
2026-10-02T00:00:00Z,2026020012,NSH,MIN
2026-10-02T01:00:00Z,2026020014,CGY,SEA
2026-10-02T01:30:00Z,2026020013,UTA,CHI
2026-10-02T02:00:00Z,2026020015,VAN,EDM
2026-10-02T02:00:00Z,2026020016,SJS,FLA
2026-10-02T22:30:00Z,2026020017,DET,NYR
2026-10-02T23:00:00Z,2026020018,CAR,WSH
2026-10-03T00:00:00Z,2026020019,WPG,BOS
2026-10-03T01:00:00Z,2026020020,DAL,STL
2026-10-03T02:00:00Z,2026020021,VGK,ANA
2026-10-03T23:00:00Z,2026020022,BUF,CHI
2026-10-03T23:00:00Z,2026020023,TOR,OTT
2026-10-03T23:00:00Z,2026020024,TBL,WSH
2026-10-03T23:00:00Z,2026020025,PHI,CAR
2026-10-03T23:00:00Z,2026020026,PIT,MTL
2026-10-03T23:00:00Z,2026020027,CBJ,UTA
2026-10-03T23:00:00Z,2026020028,EDM,SEA
2026-10-03T23:30:00Z,2026020029,NYI,NJD
2026-10-04T00:00:00Z,2026020030,NSH,DAL
2026-10-04T00:00:00Z,2026020031,MIN,BOS
2026-10-04T01:00:00Z,2026020032,COL,STL
2026-10-04T02:00:00Z,2026020033,VAN,CGY
2026-10-04T02:00:00Z,2026020034,SJS,LAK
2026-10-04T17:00:00Z,2026020035,DET,WPG
2026-10-04T22:00:00Z,2026020036,NYR,UTA
2026-10-05T00:00:00Z,2026020037,ANA,FLA
2026-10-05T00:00:00Z,2026020038,SEA,CGY
2026-10-05T01:00:00Z,2026020039,VAN,VGK
