Datum,GameId,Saison,Heim,Gast,HeimTore,GastTore,HeimReg,GastReg,Ende,HeimSOG,GastSOG,HeimPIM,GastPIM,HeimTwId,HeimTw,GastTwId,GastTw
2024-10-04,2024020001,20242025,BUF,NJD,1,4,1,4,REG,31,23,4,8,8480045,U. Luukkonen,8474593,J. Markstrom
2024-10-05,2024020002,20242025,NJD,BUF,3,1,3,1,REG,37,18,9,13,8474596,J. Allen,8482221,D. Levi
2024-10-08,2024020003,20242025,SEA,STL,2,3,2,3,REG,32,25,13,11,8475831,P. Grubauer,8476412,J. Binnington
2024-10-08,2024020004,20242025,FLA,BOS,6,4,6,4,REG,35,28,15,19,8475683,S. Bobrovsky,8476914,J. Korpisalo
2024-10-08,2024020005,20242025,UTA,CHI,5,2,5,2,REG,27,26,11,17,8478971,C. Ingram,8475852,P. Mrazek
2024-10-09,2024020006,20242025,MTL,TOR,1,0,1,0,REG,27,48,8,10,8478470,S. Montembeault,8476932,A. Stolarz
2024-10-09,2024020007,20242025,PIT,NYR,0,6,0,6,REG,31,40,6,8,8477465,T. Jarry,8478048,I. Shesterkin
2024-10-09,2024020008,20242025,EDM,WPG,0,6,0,6,REG,30,20,6,2,8479973,S. Skinner,8476945,C. Hellebuyck
2024-10-09,2024020009,20242025,VAN,CGY,5,6,5,5,OT,24,26,15,17,8481668,A. Silovs,8478435,D. Vladar
2024-10-09,2024020010,20242025,VGK,COL,8,4,8,4,REG,21,32,6,6,8478499,A. Hill,8480382,A. Georgiev
2024-10-10,2024020011,20242025,BOS,MTL,6,4,6,4,REG,29,24,12,10,8480280,J. Swayman,8480051,C. Primeau
2024-10-10,2024020012,20242025,BUF,LAK,1,3,1,3,REG,33,23,35,15,8480045,U. Luukkonen,8475311,D. Kuemper
2024-10-10,2024020013,20242025,OTT,FLA,3,1,3,1,REG,31,32,4,6,8476999,L. Ullmark,8475683,S. Bobrovsky
2024-10-10,2024020014,20242025,DET,PIT,3,6,3,6,REG,32,28,4,10,8475660,C. Talbot,8482446,J. Blomqvist
2024-10-10,2024020015,20242025,NJD,TOR,2,4,2,4,REG,23,22,4,10,8474593,J. Markstrom,8483710,D. Hildeby
2024-10-10,2024020016,20242025,NYI,UTA,4,5,4,4,OT,27,26,4,10,8473575,S. Varlamov,8478971,C. Ingram
2024-10-10,2024020017,20242025,NSH,DAL,3,4,3,4,REG,36,20,6,10,8475809,S. Wedgewood,8479979,J. Oettinger
2024-10-10,2024020018,20242025,MIN,CBJ,3,2,3,2,REG,26,33,4,6,8479406,F. Gustavsson,8478007,E. Merzlikins
2024-10-10,2024020019,20242025,SJS,STL,4,5,4,4,OT,29,40,4,4,8478406,M. Blackwood,8480981,J. Hofer
2024-10-11,2024020020,20242025,CAR,TBL,1,4,1,4,REG,21,23,12,8,8475883,F. Andersen,8476883,A. Vasilevskiy
2024-10-11,2024020021,20242025,WPG,CHI,2,1,1,1,OT,35,26,2,4,8476945,C. Hellebuyck,8482821,A. Soderblom
2024-10-11,2024020022,20242025,VAN,PHI,2,3,2,2,SO,26,31,8,8,8480947,K. Lankinen,8481035,S. Ersson
2024-10-11,2024020023,20242025,VGK,STL,4,3,4,3,REG,28,22,4,4,8478499,A. Hill,8476412,J. Binnington
2024-10-12,2024020024,20242025,BOS,LAK,2,1,1,1,OT,26,34,10,10,8480280,J. Swayman,8475311,D. Kuemper
2024-10-12,2024020025,20242025,BUF,FLA,5,2,5,2,REG,27,25,6,8,8482221,D. Levi,8481519,S. Knight
2024-10-12,2024020026,20242025,TOR,PIT,4,2,4,2,REG,33,23,8,6,8476932,A. Stolarz,8482446,J. Blomqvist
2024-10-12,2024020027,20242025,MTL,OTT,4,1,4,1,REG,26,25,10,8,8478470,S. Montembeault,8476999,L. Ullmark
2024-10-12,2024020028,20242025,DET,NSH,3,0,3,0,REG,22,42,6,4,8475660,C. Talbot,8477424,J. Saros
2025-01-07,2024020029,20242025,TBL,CAR,3,2,3,2,REG,33,31,6,10,8476883,A. Vasilevskiy,8481611,P. Kochetkov
2024-10-12,2024020030,20242025,NYR,UTA,5,6,5,5,OT,34,26,26,26,8478048,I. Shesterkin,8478971,C. Ingram
2024-10-12,2024020031,20242025,WSH,NJD,3,5,3,5,REG,32,33,10,8,8479292,C. Lindgren,8474593,J. Markstrom
2024-10-12,2024020032,20242025,DAL,NYI,3,0,3,0,REG,27,34,0,4,8479979,J. Oettinger,8473575,S. Varlamov
2024-10-12,2024020033,20242025,MIN,SEA,4,5,4,4,SO,38,34,4,4,8470594,M. Fleury,8478916,J. Daccord
2024-10-12,2024020034,20242025,COL,CBJ,4,6,4,6,REG,30,23,18,10,8481020,J. Annunen,8480193,D. Tarasov
2024-10-12,2024020035,20242025,CGY,PHI,6,3,6,3,REG,32,40,15,27,8481692,D. Wolf,8478905,I. Fedotov
2024-10-12,2024020036,20242025,EDM,CHI,2,5,2,5,REG,38,20,6,6,8475717,C. Pickard,8475852,P. Mrazek
2024-10-12,2024020037,20242025,SJS,ANA,0,2,0,2,REG,30,30,12,8,8477970,V. Vanecek,8480843,L. Dostal
