Id,Name,Team,Saison,Spiele,Gegentore,Schuesse
8480045,U. Luukkonen,BUF,20242025,53,163,1470
8474593,J. Markstrom,NJD,20242025,48,120,1207
8474596,J. Allen,NJD,20242025,30,75,817
8482221,D. Levi,BUF,20242025,8,31,254
8475831,P. Grubauer,SEA,20242025,25,82,677
8476412,J. Binnington,STL,20242025,54,139,1425
8475683,S. Bobrovsky,FLA,20242025,54,130,1377
8476914,J. Korpisalo,BOS,20242025,26,73,687
8478971,C. Ingram,UTA,20242025,19,56,527
8475852,P. Mrazek,DET,20242025,34,107,1035
8478470,S. Montembeault,MTL,20242025,59,156,1654
8476932,A. Stolarz,TOR,20242025,33,70,947
8477465,T. Jarry,PIT,20242025,33,93,947
8478048,I. Shesterkin,NYR,20242025,58,152,1701
8479973,S. Skinner,EDM,20242025,50,135,1313
8476945,C. Hellebuyck,WPG,20242025,62,124,1658
8481668,A. Silovs,VAN,20242025,9,33,234
8478435,D. Vladar,CGY,20242025,29,82,807
8478499,A. Hill,VGK,20242025,49,117,1272
8480382,A. Georgiev,SJS,20242025,44,148,1251
8480280,J. Swayman,BOS,20242025,56,166,1595
8480051,C. Primeau,MTL,20242025,9,37,240
8475311,D. Kuemper,LAK,20242025,50,99,1267
8476999,L. Ullmark,OTT,20242025,41,106,1207
8475660,C. Talbot,DET,20242025,46,126,1281
8482446,J. Blomqvist,PIT,20242025,13,43,400
8483710,D. Hildeby,TOR,20242025,6,19,156
8473575,S. Varlamov,NYI,20242025,10,29,262
8475809,S. Wedgewood,COL,20242025,23,53,563
8479979,J. Oettinger,DAL,20242025,57,143,1596
8479406,F. Gustavsson,MIN,20242025,57,142,1675
8478007,E. Merzlikins,CBJ,20242025,53,168,1557
8478406,M. Blackwood,COL,20242025,54,130,1528
8480981,J. Hofer,STL,20242025,28,71,749
8475883,F. Andersen,CAR,20242025,22,55,546
8476883,A. Vasilevskiy,TBL,20242025,63,135,1716
8482821,A. Soderblom,CHI,20242025,36,111,1087
8480947,K. Lankinen,VAN,20242025,51,132,1345
8481035,S. Ersson,PHI,20242025,44,132,1144
8481519,S. Knight,CHI,20242025,36,99,1001
8477424,J. Saros,NSH,20242025,57,162,1584
8481611,P. Kochetkov,CAR,20242025,47,120,1172
8479292,C. Lindgren,WSH,20242025,38,102,976
8470594,M. Fleury,MIN,20242025,23,66,653
8478916,J. Daccord,SEA,20242025,55,145,1574
8481020,J. Annunen,NSH,20242025,30,88,780
8480193,D. Tarasov,CBJ,20242025,18,63,534
8481692,D. Wolf,CGY,20242025,53,140,1549
8478905,I. Fedotov,PHI,20242025,23,70,604
8475717,C. Pickard,EDM,20242025,31,79,824
8477970,V. Vanecek,FLA,20242025,23,77,702
8480843,L. Dostal,ANA,20242025,50,149,1570
8479193,C. DeSmith,DAL,20242025,25,65,743
8478492,I. Samsonov,VGK,20242025,29,82,752
8473503,J. Reimer,BUF,20242025,23,68,656
8481544,M. Sogaard,OTT,20242025,2,8,40
8478872,K. Vejmelka,UTA,20242025,56,138,1482
8479312,A. Lyon,DET,20242025,24,68,659
