Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2023-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68,6,4,6,7,7,6,,,,,2,1,19,17,Completed,1.68,2.17
2023-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90,6,3,6,2,,,,,,,2,,12,5,Completed,1.7,2.14
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17,6,3,6,7,6,3,,,,,2,1,18,13,Completed,2.24,1.63
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45,4,6,6,4,6,2,,,,,2,1,16,12,Completed,1.28,3.65
2024-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42,4,6,7,5,6,2,,,,,2,1,17,13,Completed,1.33,3.25
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hanfmann Y.,Korda S.,51,24,7,5,6,4,,,,,,,2,,13,9,Completed,4.16,1.22
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Klein L.,Baez S.,170,28,4,6,6,3,6,4,,,,,2,1,16,13,Completed,2.04,1.76
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53,6,3,6,4,,,,,,,2,,12,7,Completed,2.24,1.63
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Tu L.,56,225,7,6,7,6,,,,,,,2,,14,12,Completed,1.59,2.32
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,6,7,7,5,7,6,,,,,2,1,20,18,Completed,1.37,3.02
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Vukic A.,55,62,6,3,6,2,,,,,,,2,,12,5,Completed,1.54,2.46
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Kubler J.,Karatsev A.,102,35,6,4,6,7,,,,,,,1,1,12,11,Retired,2.58,1.49
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59,6,7,6,4,7,6,,,,,2,1,19,17,Completed,1.82,1.98
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98,7,5,6,1,,,,,,,2,,13,6,Completed,1.58,2.33
2024-01-02,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kokkinakis T.,71,65,7,6,6,2,,,,,,,2,,13,8,Completed,2.57,1.49
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Michelsen A.,20,97,6,4,6,4,,,,,,,2,,12,8,Completed,1.4,2.87
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Hanfmann Y.,116,51,4,6,6,1,7,6,,,,,2,1,17,13,Completed,1.89,1.88
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Klein L.,44,170,6,4,3,6,7,5,,,,,2,1,16,15,Completed,1.54,2.43
2024-01-03,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40,6,7,6,4,7,6,,,,,2,1,19,17,Completed,1.52,2.49
