Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2023-12-31,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Wang Xiy.,Cristian J.,71,87,6,1,5,7,7,6,,,,,2,1,18,14,Completed,1.48,2.61
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Avanesyan E.,Barry M.,74,649,7,6,6,2,,,,,,,2,,13,8,Completed,1.04,11.37
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Navarro E.,Fruhvirtova L.,31,88,2,6,6,4,6,2,,,,,2,1,14,12,Completed,1.39,2.96
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Tsurenko L.,Vickery S.,32,143,7,5,6,4,,,,,,,2,,13,9,Completed,1.47,2.67
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Parry D.,Bektas E.,76,91,6,7,7,5,6,3,,,,,2,1,19,15,Completed,2.24,1.64
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Frech M.,36,70,6,0,3,6,6,4,,,,,2,1,15,10,Completed,1.28,3.63
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Putintseva Y.,35,63,6,4,7,5,,,,,,,2,,13,9,Completed,1.84,1.95
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Anisimova A.,Pavlyuchenkova A.,373,60,7,5,6,4,,,,,,,2,,13,9,Completed,2.59,1.49
2024-01-01,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Sun L.,Kessler M.,214,217,6,4,6,3,,,,,,,2,,12,7,Completed,2.04,1.76
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Martic P.,Masarova R.,41,65,3,6,6,3,6,3,,,,,2,1,15,12,Completed,1.67,2.2
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova B.,Blinkova A.,117,48,7,5,6,4,,,,,,,2,,13,9,Completed,1.63,2.28
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Martincova T.,42,156,6,7,7,5,6,2,,,,,2,1,19,14,Completed,2.02,1.78
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Gauff C.,Liu C.,3,95,6,4,6,2,,,,,,,2,,12,6,Completed,1.06,8.88
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Wozniacki C.,25,256,6,4,6,3,,,,,,,2,,12,7,Completed,1.66,2.2
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Day K.,77,89,7,6,6,7,6,1,,,,,2,1,19,14,Completed,1.56,2.38
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,1st Round,3,Raducanu E.,Ruse E.G.,301,134,6,3,4,6,7,5,,,,,2,1,17,14,Completed,1.82,1.98
2024-01-02,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Wang Xiy.,Wang Xin.,71,35,6,3,3,6,7,6,,,,,2,1,16,15,Completed,2.1,1.72
2024-01-03,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Navarro E.,Avanesyan E.,31,74,6,1,6,2,,,,,,,2,,12,3,Completed,1.22,4.18
2024-01-03,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Bouzkova M.,Anisimova A.,36,373,6,0,6,1,,,,,,,2,,12,1,Completed,1.61,2.29
2024-01-03,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Parry D.,Tsurenko L.,76,32,2,6,6,4,6,1,,,,,2,1,14,11,Completed,3.17,1.35
2024-01-03,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Martic P.,Yuan Y.,41,77,6,2,6,2,,,,,,,2,,12,4,Completed,1.7,2.14
2024-01-04,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Gauff C.,Fruhvirtova B.,3,117,6,3,6,0,,,,,,,2,,12,3,Completed,1.07,8.31
2024-01-04,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Gracheva V.,Sun L.,42,214,6,3,6,4,,,,,,,2,,12,7,Completed,1.7,2.13
2024-01-04,ASB Classic,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Raducanu E.,25,301,6,7,7,6,6,1,,,,,2,1,19,14,Completed,1.46,2.69
2024-01-04,ASB Classic,WTA250,Outdoor,Hard,Quarterfinals,3,Navarro E.,Martic P.,31,41,6,4,6,3,,,,,,,2,,12,7,Completed,1.77,2.04
2024-01-05,ASB Classic,WTA250,Outdoor,Hard,Quarterfinals,3,Gauff C.,Gracheva V.,3,42,6,1,6,1,,,,,,,2,,12,2,Completed,1.05,10.58
2024-01-05,ASB Classic,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xiy.,Parry D.,71,76,6,7,6,3,6,4,,,,,2,1,18,14,Completed,1.42,2.86
2024-01-05,ASB Classic,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Bouzkova M.,25,36,6,0,6,3,,,,,,,2,,12,3,Completed,1.88,1.91
2024-01-06,ASB Classic,WTA250,Outdoor,Hard,Semifinals,3,Gauff C.,Navarro E.,3,31,6,3,6,1,,,,,,,2,,12,4,Completed,1.1,6.99
2024-01-06,ASB Classic,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Wang Xiy.,25,71,2,6,6,4,6,3,,,,,2,1,14,13,Completed,1.26,3.85
2024-01-07,ASB Classic,WTA250,Outdoor,Hard,The Final,3,Gauff C.,Svitolina E.,3,25,6,7,6,3,6,3,,,,,2,1,18,13,Completed,1.18,4.86
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Andreeva M.,Shnaider D.,58,97,6,2,6,3,,,,,,,2,,12,5,Completed,1.22,4.21
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Rodionova Ar.,Trevisan M.,113,46,6,3,6,2,,,,,,,2,,12,5,Completed,2.64,1.48
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Pera B.,80,69,6,2,6,1,,,,,,,2,,12,3,Completed,1.4,2.92
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Schmiedlova A.,Dolehide C.,73,45,3,6,6,4,6,2,,,,,2,1,15,12,Completed,2.35,1.59
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Giorgi C.,Stearns P.,55,49,5,7,6,2,6,3,,,,,2,1,17,12,Completed,1.79,2.01
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Stephens S.,Siniakova K.,44,50,7,5,6,3,,,,,,,2,,13,8,Completed,2.18,1.68
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Bogdan A.,38,66,4,6,6,3,6,3,,,,,2,1,16,12,Completed,1.47,2.68
2023-12-31,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Minnen G.,61,64,5,7,6,3,6,1,,,,,2,1,17,11,Completed,1.72,2.11
2024-01-01,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Osaka N.,Korpatsch T.,,83,6,3,7,6,,,,,,,2,,13,9,Completed,1.31,3.42
2024-01-01,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Saville D.,Yastremska D.,209,98,6,0,6,4,,,,,,,2,,12,4,Completed,2.79,1.43
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Noskova L.,Babos T.,40,192,5,7,7,6,7,6,,,,,2,1,19,19,Completed,1.21,4.33
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Bronzetti L.,Krueger A.,52,78,6,4,7,5,,,,,,,2,,13,9,Completed,2.18,1.67
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Birrell K.,124,115,4,6,6,0,6,4,,,,,2,1,16,10,Completed,1.52,2.51
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Burel C.,Sonmez Z.,56,163,6,4,6,2,,,,,,,2,,12,6,Completed,1.36,3.17
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Riera J.,Tomova V.,137,75,6,2,6,4,,,,,,,2,,12,6,Completed,2.47,1.54
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Baptiste H.,54,129,6,1,4,6,6,3,,,,,2,1,16,10,Completed,1.26,3.82
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Rodionova Ar.,Kenin S.,113,37,7,5,7,6,,,,,,,2,,14,11,Completed,3.68,1.28
2024-01-02,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Kalinskaya A.,23,80,6,1,7,6,,,,,,,2,,13,7,Completed,1.93,1.87
